"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"EC:1.1.1.1",0.586357995572486,0.986286110499188,0.596981443914533,0.997588975098235
"EC:1.1.1.100",0.694233165547732,0.986286110499188,0.761024963880137,0.997588975098235
"EC:1.1.1.102",0.502230904765314,0.987236832985607,0.509848897731619,0.997607580041694
"EC:1.1.1.103",0.874536694831758,0.987347784460807,0.945502508131462,0.997713693212909
"EC:1.1.1.105",0.480912004220235,0.986841521298535,0.486259207984293,0.983116823446656
"EC:1.1.1.107",0.565824533419782,0.987028394746516,0.584054353457294,0.994714633445907
"EC:1.1.1.108",0.578350003864703,0.986375359736017,0.544641663500305,0.997588975098235
"EC:1.1.1.11",0.541437777665225,0.986286110499188,0.501978051950756,0.997588975098235
"EC:1.1.1.122",0.593845781448729,0.986300584006359,0.653286130601705,0.997588975098235
"EC:1.1.1.125",0.0929359732442627,0.986286110499188,0.152471664401328,0.997588975098235
"EC:1.1.1.130",0.620450711126602,0.986286110499188,0.584844295522723,0.997588975098235
"EC:1.1.1.132",0.427538380644437,0.986495361114911,0.384081744991295,0.992557223727501
"EC:1.1.1.133",0.585031038105872,0.986286110499188,0.618827212035602,0.997588975098235
"EC:1.1.1.136",0.726535535668319,0.986286110499188,0.873323861216276,0.997588975098235
"EC:1.1.1.137",0.56293161406551,0.986286110499188,0.901200289444471,0.997588975098235
"EC:1.1.1.14",0.479209548648263,0.986286110499188,0.638438322445045,0.997588975098235
"EC:1.1.1.140",0.438038196080649,0.986286110499188,0.292420537683061,0.997588975098235
"EC:1.1.1.157",0.307634240915792,0.986286110499188,0.0949121716809028,0.997588975098235
"EC:1.1.1.159",0.618196569986901,0.986286110499188,0.424202779351563,0.997588975098235
"EC:1.1.1.163",0.531145917467684,0.986816023361061,0.512345116780016,0.991703026980055
"EC:1.1.1.169",0.93017968006323,0.989455261596745,0.939749516262159,0.997588975098235
"EC:1.1.1.17",0.378830685036199,0.986286110499188,0.0117480923021437,0.937071648932151
"EC:1.1.1.173",0.476051557378671,0.986554108334884,0.502304645396587,0.997221658086868
"EC:1.1.1.18",0.57436248803854,0.986286110499188,0.323326791706614,0.997588975098235
"EC:1.1.1.193",0.718313876098512,0.986286110499188,0.683249144307897,0.997588975098235
"EC:1.1.1.2",0.311910307756101,0.98629215170322,0.32533822082453,0.997258474321438
"EC:1.1.1.202",0.526713699861026,0.986609010452392,0.53042552830138,0.994672864372879
"EC:1.1.1.203",0.74669599042123,0.986488490293867,0.746585582756577,0.997588975098235
"EC:1.1.1.205",0.743519323433696,0.986286110499188,0.625409955658797,0.997588975098235
"EC:1.1.1.206",0.574637139602834,0.986861688255264,0.584904140302043,0.997595444985214
"EC:1.1.1.215",0.479000021324145,0.986286110499188,0.464656882231496,0.997588975098235
"EC:1.1.1.219",0.127719501701086,0.986286110499188,0.381241933270353,0.997588975098235
"EC:1.1.1.22",0.573779737652433,0.986286110499188,0.681208560338881,0.997588975098235
"EC:1.1.1.220",0.709624396243704,0.986314835430302,0.67895656721088,0.997588975098235
"EC:1.1.1.23",0.49837818108706,0.986286110499188,0.549001267151119,0.997588975098235
"EC:1.1.1.243",0.486120028674563,0.98678011001888,0.414857870231721,0.994976507996763
"EC:1.1.1.25",0.728923571558088,0.986286110499188,0.651649492173188,0.997588975098235
"EC:1.1.1.26",0.661714197714618,0.986286110499188,0.871045260608465,0.997588975098235
"EC:1.1.1.261",0.673043218681994,0.986291973965682,0.580944285453578,0.997588975098235
"EC:1.1.1.262",0.80773537667551,0.986286110499188,0.874544162092843,0.997588975098235
"EC:1.1.1.264",0.801117275396397,0.986636100289344,0.814544265331258,0.997595904405897
"EC:1.1.1.267",0.660444948982467,0.986286110499188,0.695285155784367,0.997588975098235
"EC:1.1.1.27",0.446147445385839,0.986286110499188,0.434183124779801,0.997588975098235
"EC:1.1.1.271",0.76004618953227,0.986286110499188,0.886463291328707,0.997588975098235
"EC:1.1.1.276",0.796220157168447,0.989095866050105,0.774144272012019,0.997617071290835
"EC:1.1.1.28",0.882624453494935,0.986622534184281,0.875896196143268,0.997588975098235
"EC:1.1.1.281",0.675065537428153,0.98642746761347,0.588497086199199,0.997588975098235
"EC:1.1.1.284",0.404050141516386,0.986286110499188,0.677064269519497,0.997588975098235
"EC:1.1.1.29",0.796886879132591,0.986286110499188,0.922116347397054,0.997588975098235
"EC:1.1.1.290",0.914655553455332,0.988119602611695,0.7659508658775,0.997588975098235
"EC:1.1.1.292",0.696914072770813,0.988236894857487,0.698751101145327,0.997591342087702
"EC:1.1.1.3",0.73078140200181,0.986286110499188,0.686011714362783,0.997588975098235
"EC:1.1.1.30",0.678749916355,0.986286110499188,0.75948574889037,0.997588975098235
"EC:1.1.1.301",0.520135594520568,0.98728519582644,0.502572555733819,0.990245407147714
"EC:1.1.1.302",0.522020806099657,0.98692940972705,0.508822978710885,0.996055531404729
"EC:1.1.1.303",0.444928201275046,0.986286110499188,0.327188720041908,0.997588975098235
"EC:1.1.1.304",0.474037906729871,0.986286110499188,0.89549001370814,0.997588975098235
"EC:1.1.1.305",0.478837964381846,0.986713534517531,0.389190832699556,0.996802992444014
"EC:1.1.1.306",0.630752559314868,0.986286110499188,0.336368338856379,0.997588975098235
"EC:1.1.1.308",0.716828723484008,0.987407048211803,0.691967985167727,0.997599093876279
"EC:1.1.1.31",0.412993465377105,0.986286110499188,0.505916957740139,0.997588975098235
"EC:1.1.1.310",0.553674759877644,0.987065601864687,0.509976503076888,0.996956633856927
"EC:1.1.1.312",0.220620900536813,0.986286110499188,0.258808119418224,0.997588975098235
"EC:1.1.1.313",0.474806469349395,0.986760467719811,0.44286902139778,0.996145907914671
"EC:1.1.1.320",0.504564503472513,0.986727749581975,0.543996132846151,0.992374292704628
"EC:1.1.1.328",0.560492235576769,0.987099395924541,0.567838188065348,0.997599973064276
