"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"1CMET2-PWY",0.624347802993737,0.95117972223605,0.64967267190828,0.961119019952936
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0.905256983161435,0.980121472752397,0.871147379513006,0.979038453386246
"AEROBACTINSYN-PWY",0.559646981802924,0.959004519718106,0.521273154116081,0.954705328753166
"ALL-CHORISMATE-PWY",0.635598931186926,0.951180601195407,0.553889064930044,0.961119019952936
"ANAEROFRUCAT-PWY",0.624792608799732,0.95117972223605,0.637161971472668,0.961119019952936
"ANAGLYCOLYSIS-PWY",0.595432488870968,0.95117972223605,0.628998867440559,0.961119019952936
"ARG+POLYAMINE-SYN",0.92106771076982,0.981348199239772,0.837746453056033,0.971283250224656
"ARGDEG-PWY",0.369570072575059,0.954392600229889,0.318071421961786,0.945572694214764
"ARGORNPROST-PWY",0.959282676273288,0.987268143511871,0.943764542667743,0.984576264696979
"ARGSYN-PWY",0.937647308840976,0.982894156924878,0.904567722970569,0.975570856934154
"ARGSYNBSUB-PWY",0.915463665742519,0.980298781800952,0.876652522928214,0.973324707450477
"ARO-PWY",0.68668938437858,0.951256599200945,0.633160505896598,0.961119019952936
"ASPASN-PWY",0.544972377603296,0.95117972223605,0.651430037647781,0.961119019952936
"AST-PWY",0.924215415354021,0.982325684242106,0.88346762839749,0.978709610091795
"BIOTIN-BIOSYNTHESIS-PWY",0.293884801597316,0.95117972223605,0.152874118149947,0.961119019952936
"BRANCHED-CHAIN-AA-SYN-PWY",0.671431128330387,0.95117972223605,0.711417475989448,0.961123449683457
"CALVIN-PWY",0.569071787142146,0.95117972223605,0.604727326225272,0.961119019952936
"CATECHOL-ORTHO-CLEAVAGE-PWY",0.925996563715158,0.983669764660858,0.882341217179663,0.981007220478837
"CENTFERM-PWY",0.57565235515616,0.95117972223605,0.164375268088532,0.961119019952936
"CHLOROPHYLL-SYN",0.520574376387471,0.956565717213365,0.527901722762434,0.965309479454423
"COA-PWY",0.604397780256655,0.95117972223605,0.616805452849153,0.961119019952936
"COBALSYN-PWY",0.893336238284785,0.978025068843559,0.895415820942819,0.974500764119116
"CODH-PWY",0.719617903508713,0.95279082682833,0.543255305073413,0.961223492661744
"COLANSYN-PWY",0.843316220106722,0.971521564354381,0.902997855346843,0.974676079918357
"COMPLETE-ARO-PWY",0.698320561214096,0.951273689067517,0.64843231229408,0.961119019952936
"CRNFORCAT-PWY",0.247604655954022,0.95117972223605,0.248341918320146,0.960275786614347
"DAPLYSINESYN-PWY",0.651040703257864,0.951207257584999,0.70490360749934,0.961119019952936
"DENITRIFICATION-PWY",0.53080134999322,0.95117972223605,0.180626445461089,0.961119019952936
"DENOVOPURINE2-PWY",0.63931371541002,0.95117972223605,0.687839899306457,0.961119019952936
"DHGLUCONATE-PYR-CAT-PWY",0.454027320177123,0.954306121757114,0.37040356234319,0.944007455310111
"DTDPRHAMSYN-PWY",0.586203795256985,0.95117972223605,0.619432111995591,0.961119019952936
"ENTBACSYN-PWY",0.301381685986282,0.95117972223605,0.260371970623499,0.961119019952936
"FAO-PWY",0.560045392636469,0.95117972223605,0.416324095460768,0.961119019952936
"FASYN-ELONG-PWY",0.598499969273676,0.95117972223605,0.641059859903013,0.961119019952936
"FASYN-INITIAL-PWY",0.486106224209893,0.95117972223605,0.340855115128556,0.961119019952936
"FERMENTATION-PWY",0.558238440612121,0.95117972223605,0.649378945939764,0.961119019952936
"FOLSYN-PWY",0.606208123059415,0.95117972223605,0.602216865556287,0.961119019952936
"FUC-RHAMCAT-PWY",0.634494530273453,0.951301862199647,0.624873392415191,0.961663640646123
"FUCCAT-PWY",0.719538910246114,0.951666188642065,0.485145042568885,0.961119019952936
"GALACT-GLUCUROCAT-PWY",0.947883078823783,0.984852046590893,0.834467369392244,0.971438596791959
"GALACTARDEG-PWY",0.681670553305163,0.956915290315382,0.609892457249068,0.965305219245012
"GALACTUROCAT-PWY",0.921372116883146,0.981207561087441,0.722573580831709,0.965174347242249
"GALLATE-DEGRADATION-I-PWY",0.730579443601552,0.96514227488821,0.711196723100369,0.972378076745707
"GALLATE-DEGRADATION-II-PWY",0.752664214662368,0.964964772553318,0.753030184064601,0.972025650384323
"GLCMANNANAUT-PWY",0.313740113538687,0.95117972223605,0.591917299972506,0.961119019952936
"GLUCARDEG-PWY",0.714724209128531,0.958375030048818,0.668447721923343,0.965231097080353
"GLUCARGALACTSUPER-PWY",0.682949859417982,0.957078151757907,0.611773564361284,0.964280335761226
"GLUCONEO-PWY",0.604804862433121,0.95117972223605,0.685842403453528,0.961119019952936
"GLUCOSE1PMETAB-PWY",0.515129680685663,0.95117972223605,0.648002506217286,0.961119019952936
"GLUCUROCAT-PWY",0.664155960278599,0.95280189827163,0.523166759290279,0.961119019952936
"GLUTORN-PWY",0.88484121898787,0.976830977732985,0.925912692867628,0.979138570654122
"GLYCOCAT-PWY",0.874753974896176,0.974951414926494,0.920714400550586,0.977798491877896
"GLYCOGENSYNTH-PWY",0.530958948776461,0.95117972223605,0.804384156875885,0.96923519584653
"GLYCOL-GLYOXDEG-PWY",0.283297646576301,0.95117972223605,0.150519171316209,0.960040486031651
"GLYCOLYSIS",0.609459790399971,0.95117972223605,0.632733563023299,0.961119019952936
"GLYCOLYSIS-E-D",0.835595040420207,0.96736781683341,0.586990175489516,0.961119019952936
"GLYCOLYSIS-TCA-GLYOX-BYPASS",0.259966691313738,0.95117972223605,0.174782586791437,0.961119019952936
"GLYOXYLATE-BYPASS",0.250458054036075,0.95117972223605,0.195159793566545,0.961119019952936
"GOLPDLCAT-PWY",0.668077699754775,0.952820842466702,0.823627405149852,0.974529556518545
"HCAMHPDEG-PWY",0.496254546658255,0.951740597145295,0.411624449452214,0.944972034556162
"HEME-BIOSYNTHESIS-II",0.714547739645814,0.951592281808199,0.704666398413364,0.961238045146227
"HEMESYN2-PWY",0.783891656975454,0.958683941530315,0.769087831268189,0.964837065112995
"HEXITOLDEGSUPER-PWY",0.37002635334066,0.95117972223605,0.208579492071263,0.961119019952936
"HISDEG-PWY",0.573471600198261,0.95117972223605,0.625425247818557,0.961135459763735
"HISTSYN-PWY",0.976029853468009,0.990559724890971,0.959339662523181,0.988181221425013
"HOMOSER-METSYN-PWY",0.60727835418189,0.95117972223605,0.615742081425191,0.961119019952936
"HSERMETANA-PWY",0.628865733400564,0.95117972223605,0.659846105068047,0.961119019952936
"ILEUSYN-PWY",0.679751173319259,0.951214461849756,0.711406081047178,0.961170820145997
"KDO-NAGLIPASYN-PWY",0.290484963671312,0.95117972223605,0.253040657983842,0.961119019952936
"KETOGLUCONMET-PWY",0.915849533439506,0.980336722167138,0.864823495121756,0.977183080764328
"LACTOSECAT-PWY",0.643416874067823,0.951453984207098,0.427550304398879,0.961119019952936
"LEU-DEG2-PWY",0.856603425872443,0.971487688626607,0.661244036922818,0.966135752594675
"LIPASYN-PWY",0.445826338483778,0.954812948387087,0.430375415945012,0.957270415970899
"MET-SAM-PWY",0.588157589774361,0.95117972223605,0.6519520893349,0.961119019952936
"METH-ACETATE-PWY",0.465553740027087,0.955447685160844,0.400667826958295,0.95675484840682
"METHGLYUT-PWY",0.437817212093318,0.955800185511901,0.318774708761945,0.943897643052555
"METHYLGALLATE-DEGRADATION-PWY",0.71673656704504,0.962745593920663,0.719828911431497,0.96922591222915
"NAD-BIOSYNTHESIS-II",0.587253553984904,0.95117972223605,0.70218892239849,0.961741084316797
"NADSYN-PWY",0.238019750085981,0.951298413709827,0.150937336636082,0.929461321208374
"NAGLIPASYN-PWY",0.60691373305663,0.95117972223605,0.660597938389381,0.961255907997528
"NONMEVIPP-PWY",0.347604209298222,0.95117972223605,0.386323124043801,0.961119019952936
"NONOXIPENT-PWY",0.658378785034158,0.95117972223605,0.660260556714293,0.961119019952936
"OANTIGEN-PWY",0.584602086656832,0.95117972223605,0.62928103153856,0.961119019952936
"ORNARGDEG-PWY",0.402412476143351,0.953021274591699,0.344043868549158,0.932952280537158
"P101-PWY",0.893073274018243,0.97760657176733,0.865568531541636,0.976858261357854
"P105-PWY",0.170584118835399,0.95117972223605,0.0258380263511226,0.864583303193996
"P108-PWY",0.878143549366686,0.976184700959475,0.836911849402148,0.972441162970821
"P122-PWY",0.360204283197216,0.95117972223605,0.342514117333592,0.961119019952936
"P124-PWY",0.330935486248671,0.95117972223605,0.319214561937505,0.961119019952936
"P125-PWY",0.51617665231842,0.95117972223605,0.434896739918974,0.961119019952936
"P161-PWY",0.313260838757543,0.95117972223605,0.402136675226565,0.961119019952936
"P162-PWY",0.635645562103874,0.95117972223605,0.582214061196342,0.961119019952936
"P163-PWY",0.735760476525592,0.951939534600315,0.798502684078625,0.969662517345183
"P164-PWY",0.245777399953262,0.95117972223605,0.0881954946175796,0.961119019952936
