feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.1.1.1.1	Progression	progression	-0.00183432588546089	0.00154682434590655	90	90	0.238867468885451	0.999997549193438
EC.1.1.1.100	Progression	progression	-0.00040947924243806	0.00123009974260359	90	90	0.740014377990256	0.999997549193438
EC.1.1.1.102	Progression	progression	-0.000118654864943642	0.000105351312808815	90	10	0.264608190220644	0.999997549193438
EC.1.1.1.103	Progression	progression	-0.000469950019374891	0.000933896485078181	90	67	0.616070888859938	0.999997549193438
EC.1.1.1.107	Progression	progression	-0.000100173901106101	0.00028430749592083	90	11	0.725423101143806	0.999997549193438
EC.1.1.1.108	Progression	progression	2.10562229079749e-05	0.000570577789001779	90	49	0.970645666793951	0.999997549193438
EC.1.1.1.11	Progression	progression	0.000137726305043004	0.000492084368011418	90	47	0.780223703980271	0.999997549193438
EC.1.1.1.122	Progression	progression	-0.000219778992800853	0.000835134927870247	90	56	0.793037944353133	0.999997549193438
EC.1.1.1.125	Progression	progression	0.000185521650192302	0.000818244439658074	90	66	0.821158520361138	0.999997549193438
EC.1.1.1.130	Progression	progression	0.00237927280494681	0.00101412372112599	90	63	0.0212158738861033	0.999997549193438
EC.1.1.1.133	Progression	progression	-0.000257345336719439	0.000981937145214183	90	90	0.793872855787444	0.999997549193438
EC.1.1.1.136	Progression	progression	0.000517493200111413	0.00149396065960993	90	85	0.730281867289892	0.999997549193438
EC.1.1.1.137	Progression	progression	-0.00199835634439044	0.00183718224909361	90	89	0.279684975932331	0.999997549193438
EC.1.1.1.14	Progression	progression	-0.000262790959790538	0.000972726358972812	90	78	0.787670351961272	0.999997549193438
EC.1.1.1.140	Progression	progression	-5.64715477435751e-09	0.000956665285663062	90	88	0.9999953034822	0.999997549193438
EC.1.1.1.157	Progression	progression	-0.00114070116390016	0.00147636461145512	90	90	0.441804606683753	0.999997549193438
EC.1.1.1.159	Progression	progression	0.000634737038595608	0.00077530092985592	90	78	0.415170495451428	0.999997549193438
EC.1.1.1.169	Progression	progression	-0.000479068031459245	0.00127192844711519	90	90	0.707787160296427	0.999997549193438
EC.1.1.1.17	Progression	progression	-0.000433594737092474	0.000876629882886077	90	89	0.622104142703723	0.999997549193438
EC.1.1.1.173	Progression	progression	-0.000446161779343413	0.000544981724228136	90	19	0.416267408651886	0.999997549193438
EC.1.1.1.18	Progression	progression	-0.000521672511041216	0.00115506291647789	90	90	0.652639570332599	0.999997549193438
EC.1.1.1.193	Progression	progression	0.00144032135008051	0.00100811673630982	90	90	0.156623317194034	0.999997549193438
EC.1.1.1.2	Progression	progression	-0.00017844575137388	0.000468314368056648	90	22	0.704543417566154	0.999997549193438
EC.1.1.1.202	Progression	progression	-0.000113004835548206	0.000258239536454045	90	13	0.662750610693208	0.999997549193438
EC.1.1.1.203	Progression	progression	-0.000254636831471271	0.000811981268610092	90	50	0.754567454615444	0.999997549193438
EC.1.1.1.205	Progression	progression	-9.80620467355697e-05	0.000739151404748546	90	90	0.894758513052957	0.999997549193438
EC.1.1.1.206	Progression	progression	8.21906706248815e-05	0.000179326863924624	90	10	0.648399991369597	0.999997549193438
EC.1.1.1.215	Progression	progression	-0.000350477587603545	0.000794895471054558	90	51	0.66035925952941	0.999997549193438
EC.1.1.1.219	Progression	progression	0.000582303108681138	0.00108874335284284	90	77	0.594109609474051	0.999997549193438
EC.1.1.1.22	Progression	progression	0.000668450063326853	0.00159154839931564	90	90	0.675509280038602	0.999997549193438
EC.1.1.1.220	Progression	progression	0.000355430427419242	0.000744544316610085	90	68	0.634275215999124	0.999997549193438
EC.1.1.1.23	Progression	progression	0.000198248238965204	0.00127818117448285	90	90	0.87709624384948	0.999997549193438
EC.1.1.1.25	Progression	progression	-5.91484482641236e-05	0.000998597451535901	90	90	0.952967871028349	0.999997549193438
EC.1.1.1.26	Progression	progression	-7.96613091510564e-05	0.00102935639597304	90	72	0.938489434285045	0.999997549193438
EC.1.1.1.261	Progression	progression	-0.00068244025889585	0.000892586863534209	90	60	0.447578148375737	0.999997549193438
EC.1.1.1.262	Progression	progression	0.00090913073983403	0.00156314361042102	90	90	0.5623202719455	0.999997549193438
EC.1.1.1.264	Progression	progression	-0.000148569266601127	0.000691987490601364	90	59	0.830742098092263	0.999997549193438
EC.1.1.1.267	Progression	progression	0.00101741819502733	0.000982339812087432	90	90	0.303175656458959	0.999997549193438
EC.1.1.1.27	Progression	progression	-0.00084124322242009	0.00150918476098669	90	90	0.578658608734829	0.999997549193438
EC.1.1.1.271	Progression	progression	-0.000193285171825444	0.00139593559094534	90	89	0.890191014979154	0.999997549193438
EC.1.1.1.276	Progression	progression	4.68499370364535e-06	0.00041257512244827	90	26	0.990965526845809	0.999997549193438
EC.1.1.1.28	Progression	progression	0.00136082341094336	0.0016476380721801	90	90	0.411080942139308	0.999997549193438
EC.1.1.1.281	Progression	progression	-1.85654852683615e-05	0.000408310877718388	90	51	0.963836510629295	0.999997549193438
EC.1.1.1.284	Progression	progression	0.000376419178963377	0.00153404329689409	90	89	0.807015942566885	0.999997549193438
