,chao1,shannon,simpson,simpson_e,faith_pd
1035,0.0,0.0,0.0,0.0,0.0
1072,1.0,0.0,0.0,1.0,0.66559297352
1133,1.0,0.0,0.0,1.0,0.66559297352
1163,0.0,0.0,0.0,0.0,0.0
1167,1.0,0.0,0.0,1.0,0.66559297352
1244,0.0,0.0,0.0,0.0,0.0
1314,1.0,0.0,0.0,1.0,0.66559297352
1343,1.0,0.0,0.0,1.0,0.66559297352
1347,1.0,0.0,0.0,1.0,0.66559297352
1351,1.0,0.0,0.0,1.0,0.66559297352
1365,1.0,0.0,0.0,1.0,0.66559297352
1368,1.0,0.0,0.0,1.0,0.66559297352
1380,1.0,0.0,0.0,1.0,0.66559297352
1386,0.0,0.0,0.0,0.0,0.0
1431,0.0,0.0,0.0,0.0,0.0
1441,1.0,0.0,0.0,1.0,0.66559297352
1457,0.0,0.0,0.0,0.0,0.0
1466,0.0,0.0,0.0,0.0,0.0
1488,1.0,0.0,0.0,1.0,0.7601005587
1493,0.0,0.0,0.0,0.0,0.0
1496,0.0,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0,0.0
1560,1.0,0.0,0.0,1.0,0.7601005587
1574,1.0,0.0,0.0,1.0,0.7601005587
1585,0.0,0.0,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0,0.0
1608,2.0,0.8112781244591328,0.375,0.8,1.1616752087
1630,1.0,0.0,0.0,1.0,0.66559297352
1639,1.0,0.0,0.0,1.0,0.66559297352
1650,0.0,0.0,0.0,0.0,0.0
1655,1.0,0.0,0.0,1.0,0.66559297352
1661,2.0,0.4138168503036338,0.1527777777777779,0.5901639344262296,1.06716762352
1667,0.0,0.0,0.0,0.0,0.0
1730,1.0,0.0,0.0,1.0,0.66559297352
1758,1.0,0.0,0.0,1.0,0.66559297352
1774,0.0,0.0,0.0,0.0,0.0
1799,0.0,0.0,0.0,0.0,0.0
1806,1.0,0.0,0.0,1.0,0.66559297352
1818,1.0,0.0,0.0,1.0,0.66559297352
1822,0.0,0.0,0.0,0.0,0.0
1825,0.0,0.0,0.0,0.0,0.0
1864,0.0,0.0,0.0,0.0,0.0
1871,0.0,0.0,0.0,0.0,0.0
1876,1.0,0.0,0.0,1.0,0.66559297352
1913,1.0,0.0,0.0,1.0,0.7601005587
1972,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2028,1.0,0.0,0.0,1.0,0.66559297352
2074,1.0,0.0,0.0,1.0,0.66559297352
2088,2.0,0.49030291039847873,0.19084666520563953,0.6179298514873832,1.20029473222
2104,0.0,0.0,0.0,0.0,0.0
2108,0.0,0.0,0.0,0.0,0.0
2118,0.0,0.0,0.0,0.0,0.0
2137,0.0,0.0,0.0,0.0,0.0
3003,0.0,0.0,0.0,0.0,0.0
3011,0.0,0.0,0.0,0.0,0.0
3012,2.0,0.74959525725948,0.33673469387755106,0.7538461538461539,1.20029473222
3021,2.0,0.6385146263620961,0.27119377162629754,0.686053412462908,1.06716762352
3022,0.0,0.0,0.0,0.0,0.0
3024,0.0,0.0,0.0,0.0,0.0
3031,1.0,0.0,0.0,1.0,0.66559297352
3036,1.0,0.0,0.0,1.0,0.7601005587
3040,0.0,0.0,0.0,0.0,0.0
3046,1.0,0.0,0.0,1.0,0.66559297352
3048,0.0,0.0,0.0,0.0,0.0
3049,1.0,0.0,0.0,1.0,0.66559297352
3052,1.0,0.0,0.0,1.0,0.66559297352
3053,0.0,0.0,0.0,0.0,0.0
3059,0.0,0.0,0.0,0.0,0.0
3060,1.0,0.0,0.0,1.0,0.7601005587
3063,1.0,0.0,0.0,1.0,0.66559297352
3068,1.0,0.0,0.0,1.0,0.66559297352
3073,1.0,0.0,0.0,1.0,0.7601005587
3080,0.0,0.0,0.0,0.0,0.0
3086,0.0,0.0,0.0,0.0,0.0
3087,0.0,0.0,0.0,0.0,0.0
3090,1.0,0.0,0.0,1.0,0.66559297352
3128,0.0,0.0,0.0,0.0,0.0
3162,0.0,0.0,0.0,0.0,0.0
3173,0.0,0.0,0.0,0.0,0.0
3191,1.0,0.0,0.0,1.0,0.66559297352
3201,0.0,0.0,0.0,0.0,0.0
3213,1.0,0.0,0.0,1.0,0.66559297352
3217,1.0,0.0,0.0,1.0,0.66559297352
3222,0.0,0.0,0.0,0.0,0.0
8223,0.0,0.0,0.0,0.0,0.0
8288,0.0,0.0,0.0,0.0,0.0
8876,1.0,0.0,0.0,1.0,0.66559297352
