sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
1035	26221	4190	15.98	3117	3117	11.89
1072	26482	5106	19.28	4163	4134	15.61
1133	25774	5177	20.09	5132	4961	19.25
1163	28851	5450	18.89	4489	3923	13.6
1167	30323	6009	19.82	5201	5151	16.99
1244	27919	3341	11.97	2376	2353	8.43
1314	22271	4980	22.36	4406	4100	18.41
1343	22209	4126	18.58	3842	3842	17.3
1347	15183	2530	16.66	2386	2333	15.37
1351	21248	4123	19.4	3586	3538	16.65
1365	38177	6350	16.63	5553	5386	14.11
1368	34526	7614	22.05	6512	6094	17.65
1380	40466	7255	17.93	6595	6469	15.99
1386	25345	4315	17.03	3516	3461	13.66
1431	39294	8050	20.49	6026	5727	14.57
1441	19153	3199	16.7	2922	2922	15.26
1457	28065	6721	23.95	5452	4418	15.74
1466	23072	3759	16.29	3199	2955	12.81
1488	17347	3999	23.05	2775	2648	15.26
1493	41486	7400	17.84	6505	5246	12.65
1496	34438	7791	22.62	5723	4795	13.92
1512	26587	5731	21.56	5256	4660	17.53
1552	28673	6166	21.5	4791	4420	15.42
1560	33089	5633	17.02	3788	3396	10.26
1574	33928	6375	18.79	5272	4889	14.41
1585	27701	5007	18.08	4781	4510	16.28
1607	17833	3235	18.14	2522	2522	14.14
1608	30953	8495	27.44	5290	5034	16.26
1630	21189	3018	14.24	2337	2294	10.83
1639	44283	8984	20.29	8017	7480	16.89
1650	56785	12343	21.74	10211	7955	14.01
1655	36170	7001	19.36	6485	6176	17.07
1661	34326	5333	15.54	4517	4013	11.69
1667	40020	5722	14.3	5199	4218	10.54
1730	33931	9790	28.85	8497	7818	23.04
1758	41437	11843	28.58	11508	11187	27
1774	40875	11075	27.09	9656	8928	21.84
1799	43428	11227	25.85	9778	7345	16.91
1806	42558	10039	23.59	8820	8309	19.52
1818	48779	10400	21.32	9067	8950	18.35
1822	45004	9924	22.05	7617	7562	16.8
1825	43745	8795	20.11	7985	7661	17.51
1864	29504	6708	22.74	5885	5111	17.32
1871	46205	8582	18.57	7732	7540	16.32
1876	22637	3155	13.94	2811	2811	12.42
1913	34626	5538	15.99	4891	4785	13.82
1972	43391	7354	16.95	6419	5565	12.83
1973	43756	8437	19.28	6723	6029	13.78
2024	77632	20979	27.02	17787	15346	19.77
2028	50885	10547	20.73	10433	9154	17.99
2074	30331	3959	13.05	3451	3389	11.17
2088	51507	10083	19.58	9863	9432	18.31
2104	24318	4638	19.07	4061	3831	15.75
2108	26128	7292	27.91	4901	4450	17.03
2118	30001	6056	20.19	5192	4837	16.12
2137	19451	5373	27.62	3886	3676	18.9
3003	42733	10325	24.16	8566	7181	16.8
3011	36028	7323	20.33	6308	5885	16.33
3012	25582	4119	16.1	3383	3261	12.75
3021	43898	11969	27.27	9101	7272	16.57
3022	38288	8979	23.45	6751	6257	16.34
3024	52936	10330	19.51	8700	7586	14.33
3031	27930	4654	16.66	4183	3872	13.86
3036	18372	3003	16.35	2030	2024	11.02
3040	23591	4664	19.77	3506	3348	14.19
3046	28375	5362	18.9	4367	4205	14.82
3048	30568	4855	15.88	4088	3686	12.06
3049	31868	6574	20.63	5276	4612	14.47
3052	24798	4205	16.96	3580	3337	13.46
3053	31118	5609	18.02	5528	5456	17.53
3059	36657	8704	23.74	6035	5602	15.28
3060	26549	4082	15.38	3145	3032	11.42
3063	58042	11603	19.99	10640	10188	17.55
3068	18894	2495	13.21	2108	2108	11.16
3073	17994	3406	18.93	2900	2806	15.59
3080	23128	4607	19.92	3813	3466	14.99
3086	27620	5743	20.79	4367	4123	14.93
3087	28746	5015	17.45	4258	3930	13.67
3090	26948	6367	23.63	5193	4826	17.91
3128	25071	4620	18.43	3947	3557	14.19
3162	22780	4432	19.46	3853	3820	16.77
3173	28480	7021	24.65	5400	4301	15.1
3191	28086	5971	21.26	5660	5485	19.53
3201	34366	6741	19.62	5211	4759	13.85
3213	15870	2157	13.59	1924	1924	12.12
3217	24591	2798	11.38	2523	2458	10
3222	20456	3357	16.41	2857	2850	13.93
8223	16983	2822	16.62	2497	2497	14.7
8288	23434	4870	20.78	3974	3863	16.48
8876	20843	3603	17.29	3459	3459	16.6
