sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
1035	26221	15911	60.68	15304	15304	58.37
1072	26482	16007	60.44	15572	15572	58.8
1133	25774	15035	58.33	15021	15021	58.28
1163	28851	18350	63.6	17943	17619	61.07
1167	30323	18829	62.09	18605	18605	61.36
1244	27919	13696	49.06	13108	13108	46.95
1314	22271	13676	61.41	13403	13403	60.18
1343	22209	13413	60.39	13361	13361	60.16
1347	15183	8943	58.9	8864	8864	58.38
1351	21248	13779	64.85	13503	13500	63.54
1365	38177	24426	63.98	24177	24116	63.17
1368	34526	22657	65.62	22265	22078	63.95
1380	40466	27398	67.71	27277	27275	67.4
1386	25345	15863	62.59	15472	15432	60.89
1431	39294	24313	61.87	23848	22729	57.84
1441	19153	12221	63.81	12087	12087	63.11
1457	28065	17942	63.93	17666	17026	60.67
1466	23072	14803	64.16	14551	14063	60.95
1488	17347	11158	64.32	10547	10547	60.8
1493	41486	27317	65.85	27020	25179	60.69
1496	34438	22610	65.65	21988	21570	62.63
1512	26587	17479	65.74	17187	17070	64.2
1552	28673	18679	65.14	18341	18114	63.17
1560	33089	18641	56.34	18047	17950	54.25
1574	33928	21819	64.31	21148	21135	62.29
1585	27701	17368	62.7	17187	17027	61.47
1607	17833	10664	59.8	10244	10231	57.37
1608	30953	20059	64.8	19349	19251	62.19
1630	21189	11819	55.78	11364	11325	53.45
1639	44283	27860	62.91	27440	26712	60.32
1650	56785	34275	60.36	33576	32449	57.14
1655	36170	21281	58.84	21125	20880	57.73
1661	34326	20543	59.85	19984	19806	57.7
1667	40020	24624	61.53	24290	23632	59.05
1730	33931	20632	60.81	20049	19808	58.38
1758	41437	27131	65.48	27091	26906	64.93
1774	40875	27038	66.15	26688	26593	65.06
1799	43428	28299	65.16	27863	26627	61.31
1806	42558	26680	62.69	26225	26171	61.49
1818	48779	31215	63.99	30723	30712	62.96
1822	45004	27976	62.16	27106	26821	59.6
1825	43745	27009	61.74	26652	26389	60.32
1864	29504	19565	66.31	19156	18632	63.15
1871	46205	28265	61.17	27851	27658	59.86
1876	22637	13140	58.05	12809	12809	56.58
1913	34626	19752	57.04	19339	19225	55.52
1972	43391	26563	61.22	26194	25233	58.15
1973	43756	26976	61.65	26190	25949	59.3
2024	77632	50455	64.99	49933	48817	62.88
2028	50885	29298	57.58	29234	29234	57.45
2074	30331	17763	58.56	17459	17078	56.31
2088	51507	31334	60.83	31296	31181	60.54
2104	24318	14741	60.62	14474	14471	59.51
2108	26128	17000	65.06	16389	16307	62.41
2118	30001	18615	62.05	18245	18031	60.1
2137	19451	12201	62.73	11728	11662	59.96
3003	42733	26851	62.83	26169	25794	60.36
3011	36028	22349	62.03	22020	21908	60.81
3012	25582	14779	57.77	14374	14370	56.17
3021	43898	28229	64.31	27362	26169	59.61
3022	38288	23525	61.44	22707	22398	58.5
3024	52936	32147	60.73	31523	30810	58.2
3031	27930	16762	60.01	16582	16036	57.41
3036	18372	11101	60.42	10467	10467	56.97
3040	23591	14696	62.29	14246	14126	59.88
3046	28375	18428	64.94	17933	17358	61.17
3048	30568	19266	63.03	18957	18668	61.07
3049	31868	20648	64.79	19936	19670	61.72
3052	24798	15052	60.7	14588	14554	58.69
3053	31118	18012	57.88	17945	17945	57.67
3059	36657	23350	63.7	22502	22309	60.86
3060	26549	16303	61.41	15667	15523	58.47
3063	58042	36709	63.25	36291	36291	62.53
3068	18894	11576	61.27	11233	11233	59.45
3073	17994	10583	58.81	10313	10313	57.31
3080	23128	14665	63.41	14255	14184	61.33
3086	27620	17626	63.82	17068	16877	61.1
3087	28746	18382	63.95	18047	17765	61.8
3090	26948	17491	64.91	16992	16897	62.7
3128	25071	15658	62.45	15385	15282	60.95
3162	22780	14440	63.39	14196	14196	62.32
3173	28480	17409	61.13	16670	16609	58.32
3191	28086	17765	63.25	17613	16853	60
3201	34366	19629	57.12	19054	18692	54.39
3213	15870	8075	50.88	7955	7955	50.13
3217	24591	13310	54.13	13066	13028	52.98
3222	20456	11823	57.8	11547	11542	56.42
8223	16983	10273	60.49	10142	10142	59.72
8288	23434	14673	62.61	14120	14104	60.19
8876	20843	12412	59.55	12298	12298	59
